#,Date,Rank,Actor,N-Match, N-Rating,N-Bad,H-Match,H-Rating,H-Bad,K-Match,K-Rating,K-Bad,Moves,Players,NAGA Report,Paifu,,Last 10 ,Last 10 ,Last 10 ,Last 20,Last 20,Last 20,Last 50,Last 50,Last 50,Last 100,Last 100,Last 100,Last 200,Last 200,Last 200,,,,,,,,,,,,,
21,4/19,4,1,79.439,88.720,5.607,82.243,88.878,5.607,78.505,86.905,5.607,107,こすず(+55.3)きのみぃ(+4.2)残飯くん(-20.6)ⓝLuckyJ(-38.9),https://naga.dmv.nico/htmls/80f871d582a45302e3c399b4e60ba9308bfefb869ebfc55d827cdfc0695651dfv2_2.html?tw=1,https://tenhou.net/4/?log=2023041920gm-0009-0000-1e13a6a6&tw=1,,72.04,85.62,7.70,72.06,85.07,8.48,,,,,,,,,,Avg K-Rating,84.375,,,70.806,98.925,,,,,,,
22,4/19,1,1,77.778,85.031,12.698,73.016,84.199,11.111,74.603,82.892,12.698,63,ⓝLuckyJ(+53.1)RIOSUBA(+11.1)アッティバティ(-12.4)NIAGARA(-51.8),https://naga.dmv.nico/htmls/7f89121448a35f7f5512b48f8c348c1fcfdefd8a6daed41ee2897ace2a853dbfv2_2.html?tw=1,https://tenhou.net/4/?log=2023041921gm-0009-0000-5c860451&tw=1,,71.95,85.16,8.34,72.48,85.28,8.64,,,,,,,,,,Avg K-Bad,9.332,,,0.000,20.455,,,,,,,
23,4/19,2,3,68.293,81.072,11.382,70.732,85.871,6.504,69.919,83.764,8.130,123,Cheeeee(+57.3)ⓝLuckyJ(+3.5)TOMOKEN(-22.0)swimcap(-38.8),https://naga.dmv.nico/htmls/e1054a708cd5ccaf98803bc57d7061c2d67e6b059b4f9092fed19411ea350f3ev2_2.html?tw=3,https://tenhou.net/4/?log=2023041921gm-0009-0000-47d50d35&tw=3,,71.44,84.60,8.81,72.47,85.32,8.55,,,,,,,,,,Avg Moves,117.3,,,9,255,,,,,,,
24,4/19,1,0,69.828,83.538,10.345,75.862,87.102,9.483,70.690,82.363,12.931,116,ⓝLuckyJ(+48.9)夜のピエロ(+10.8)李秀明明(-16.2)NoName(-43.5),https://naga.dmv.nico/htmls/589876618f35a6bfd9890de77f30b2776cf0c9ae1c0004d2e51ba9e194bbc01cv2_2.html?tw=0,https://tenhou.net/4/?log=2023041922gm-0009-0000-1d429576&tw=0,,71.35,84.58,8.79,72.35,85.28,8.48,,,,,,,,,,,,,,,,,,,,,,
25,4/19,1,2,76.471,86.380,7.353,75.735,85.764,7.353,69.853,83.192,12.500,136,ⓝLuckyJ(+48.6)ひさQ(+7.9)コミヤマサン(-13.9)NoName(-42.6),https://naga.dmv.nico/htmls/a35070b9062590c90af5ba0700f1160b3afd5b307477a05a0626621d5688d83fv2_2.html?tw=2,https://tenhou.net/4/?log=2023041922gm-0009-0000-6def000f&tw=2,,70.86,84.48,9.01,72.23,85.12,8.47,,,,,,,,,,,,,,,,,,,,,,
26,4/19,4,1,68.367,82.898,5.102,65.306,82.860,6.122,63.265,81.085,13.265,98,ミツオ(+65.4)愛舞モコ(+10.8)abc5111(-32.2)ⓝLuckyJ(-44.0),https://naga.dmv.nico/htmls/f03d1e1bb536f4f1abe6bcc4defdab050558c1d21875dd172438dc78b245db2av2_2.html?tw=1,https://tenhou.net/4/?log=2023041923gm-0009-0000-029075c2&tw=1,,70.87,84.11,8.81,71.22,84.60,8.41,,,,,,,,,,,,,,,,,,,,,,
27,4/19,3,1,76.147,85.598,6.422,76.147,87.614,5.505,67.890,80.109,8.257,109,cx1122(+46.6)まるまる(+8.0)ⓝLuckyJ(-16.8)rosso(-37.8),https://naga.dmv.nico/htmls/3f29e82abdc3a085c1e5f70e8edb15f5b3adbd044ee6f6879e29ccd6a11e653bv2_2.html?tw=1,https://tenhou.net/4/?log=2023041923gm-0009-0000-73949e90&tw=1,,72.03,84.20,8.62,71.24,84.62,8.29,,,,,,,,,,,,,,,,,,,,,,
28,4/19,4,0,82.051,89.343,6.838,83.761,89.138,7.692,81.197,89.471,7.692,117,サラズ(+41.0)Iolon(+9.6)冷やしタヌキ(-11.1)ⓝLuckyJ(-39.5),https://naga.dmv.nico/htmls/734550f19ae8e10d80a10a4d0bd85d0282074af0485ce042175e47a6788743d9v2_2.html?tw=0,https://tenhou.net/4/?log=2023042000gm-0009-0000-544d3398&tw=0,,73.38,84.71,8.67,71.92,85.00,8.42,,,,,,,,,,,,,,,,,,,,,,
29,4/19,1,0,69.167,83.379,10.000,73.333,87.065,7.500,75.833,85.570,11.667,120,ⓝLuckyJ(+66.0)部長直属の３人目(+6.6)サラズ(-26.6)DRK(-46.0),https://naga.dmv.nico/htmls/b1e1fedd4c0c1ca314fabc79144ce2e8da0ef247a37e2ce08518a56a2c20626bv2_2.html?tw=0,https://tenhou.net/4/?log=2023042000gm-0009-0000-4aeb94c4&tw=0,,73.04,84.65,8.73,71.98,84.97,8.35,,,,,,,,,,,,,,,,,,,,,,
30,4/19,3,3,65.734,82.759,11.189,71.329,84.613,9.790,69.930,81.494,11.888,143,山本こうや(+48.2)SFGiants(+6.7)ⓝLuckyJ(-20.2)koshiko(-34.7),https://naga.dmv.nico/htmls/090c6ac8ad82466140a60f6d5f89d4a1426eb9de8c9be9a6270e3e7e356fe68dv2_2.html?tw=3,https://tenhou.net/4/?log=2023042001gm-0009-0000-333a7cb8&tw=3,,73.33,84.87,8.69,71.80,84.85,8.48,,,,,,,,,,,,,,,,,,,,,,
